# time already scaled back by lambda=20.
rep	mean_root_age	sample_seed	num_roots	root_ages
561	713.3333333333334	3677500960	11	1040.0,560.0,540.0
684	713.3333333333334	98523945	13	1040.0,320.0,780.0
776	713.3333333333334	3945064247	9	360.0,840.0,940.0
114	715.0	2795127564	8	240.0,640.0,940.0,1040.0
126	715.0	2965457391	10	860.0,1020.0,40.0,940.0
899	716.0	701990113	7	40.0,980.0,1100.0,720.0,740.0
719	716.6666666666666	724810246	11	1280.0,980.0,160.0,780.0,60.0,1040.0
96	720.0	1970391680	8	820.0,620.0
273	720.0	710087070	13	900.0,620.0,640.0
320	720.0	436113063	9	340.0,1100.0
496	720.0	1920852728	10	320.0,980.0,860.0
548	720.0	67462864	10	960.0,80.0,1240.0,360.0,960.0
552	720.0	2348813732	9	940.0,860.0,360.0
616	720.0	440064283	10	1160.0,320.0,680.0
703	720.0	1530759030	10	720.0
820	720.0	1872972733	9	920.0,240.0,820.0,900.0
724	725.0	3850389515	10	340.0,1360.0,120.0,1080.0
130	730.0	735434617	11	20.0,980.0,1280.0,640.0
536	730.0	1540501393	10	100.0,1360.0
634	730.0	2665171164	6	1140.0,320.0
82	733.3333333333334	3652488719	10	1060.0,140.0,1000.0
581	733.3333333333334	3330165322	14	580.0,940.0,680.0
9	735.0	257516362	10	1020.0,920.0,400.0,600.0
505	735.0	2042588328	8	1200.0,120.0,600.0,1020.0
630	735.0	3516374670	13	680.0,1160.0,100.0,1000.0
498	736.6666666666666	4010399501	10	280.0,580.0,800.0,1120.0,640.0,1000.0
